nama_kabel;kategori;kode_desain
  N2XSEBY 3 x 95 mm2 cm  12/20 kV 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20010-01
  N2XSEBY 3 x 120 mm2 cm  12/20 kV 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20038-01
  N2XSEBY 3 x 150 mm2 cm  12/20 kV 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20056-02
  N2XSEBY 3 x 185 mm2 cm  12/20 kV 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20057-02
  N2XSEBY 3 x 300 mm2 cm  12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20024-01
  Cu/XLPE/CTS/DSTA/PVC (N2XSEBY) 3 x 240 mm2 cm 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20048-02
  Cu/XLPE/CTS/DSTA/PVC (N2XSEBY) 3 x 240 mm2 cm 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20048-03
  N2XSEBH 3 x 240 mm2 cm  12/20  (24) kV;Medium Voltage Single & Multi Core  ; 31-20476-01
  N2XSEFGBY 3 x 35 mm2 cm 6/10 (12) kV;Medium Voltage Single & Multi Core  ; 31-20133-01
  N2XSEFGBY 3 x 95 mm2 cm 8.7/15 (17.5) kV;Medium Voltage Single & Multi Core  ; 31-20105-01
  N2XSEFGBY 3 x 120 mm2 cm 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20014-03
  N2XSEFGBY 3 x 120 mm2 cm 6/10 (12) kV;Medium Voltage Single & Multi Core  ; 31-20135-01
  N2XSERGBY 3 x 150 mm2 cm 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20154-02
  Cu/XLPE/CTS/SFA/PVC (N2XSEFGBY 3 x 95 mm2 cm 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20053-02
  N2XSH 1 x 240 mm2 cm 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 31-20381-02
  Cu/XLPE/CTS/SFA/PVC (N2XSEFGbY) 3 x 25 mm2 cm 6/10 (12) kV;Medium Voltage Single & Multi Core  ; 31-20134-01
  Cu/XLPE/CTS/SFA/PVC (N2XSEFGbY) 3 x 35 mm2 cm 6/10 (12) kV;Medium Voltage Single & Multi Core  ; 31-20133-01
  Cu/XLPE/CTS/SFA/PVC (N2XSEFGbY) 3 x 120 mm2 cm 6/10 (12) kV;Medium Voltage Single & Multi Core  ; 31-20135-01
  Cu/XLPE/CTS/SFA/PVC (N2XSEFGbY) 3 x 240 mm2 cm 8.7/15 (17.5) kV;Medium Voltage Single & Multi Core  ; 31-20277-01
  N2XSEFGbY  3 x 240 mm2 cm 12/20 (24)kV;Medium Voltage Single & Multi Core  ;31-20043-03
  Al/XLPE/CTS/PVC (NA2XSY) 1 x 95 mm2 cm 12/20 (24) kV;Medium Voltage Single & Multi Core  ;   32-20035-01
  NA2XSEBY  12/20 kV 3 x 300 mm2 cm 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 32-20055-02
  NA2XSEFGbY 3 x 70 mm2 cm 12/20 (24) kV;Medium Voltage Single & Multi Core  ; 32-20014-01
  NA2XSEFGbY  12/20 kV;Medium Voltage Single & Multi Core  ;   3  x 120
  NA2XSEYBY  12/20 kV 3  x 95 mm2 cm/25 12/20 kV;Medium Voltage Single & Multi Core  ;  32-20167-01
  NA2XSEYBY  12/20 kV 3  x 240 mm2 cm/25 12/20 kV;Medium Voltage Single & Multi Core  ;  32-20005-03
  NA2XSEYBY  12/20 kV 3  x 240 mm2 cm/25 12/20 kV;Medium Voltage Single & Multi Core  ;  32-20005-01
  NA2XSEYBY 3 x 300 mm2 cm/25 12/20 (24) kV;Medium Voltage Single & Multi Core  ;  32-20006-01
  NA2XSEYBY 3 x 300 mm2 cm/25 12/20 (24) kV;Medium Voltage Single & Multi Core  ;  32-20006-06
  NFA2X 2 x 10 mm2 rm 0.6/1 (1.2)kV;Twisted Cable;  72-20001-01
  NFA2X 2 x 16 mm2 rm 0.6/1 (1.2)kV;Twisted Cable;  72-20002-01
  NFA2X 4 x 10 mm2 rm 0.6/1 (1.2)kV;Twisted Cable;  72-20003-01
  NFA2X 4 x 25 mm2 rm 0.6/1 (1.2)kV;Twisted Cable;   72-20019-01
  NFA2X 4 x 35 mm2 rm 0.6/1 (1.2)kV;Twisted Cable;   72-20012-01
  NFA2X 4 x 16 mm2 rm 0.6/1 (1.2)kV;Twisted Cable;  72-20004-01
  NFA2X-T 3 x 50 +35;Twisted Cable;  72-20015-01
  NFA2X-T 3 x 95 +95;Twisted Cable;  72-20011-01
  NFA2X-T 3 x 95 + 70;Twisted Cable;  72-20017-01
  AAAC 35 mm2;AL/ACSR;42-00045-01
  AAAC 70 mm2;AL/ACSR;42-20008-01
  AAAC 150 mm2;AL/ACSR;42-20009-01
  AAAC-S 50 mm2;AL/ACSR;42-20008-01
  AAAC-S 70 mm2;AL/ACSR;42-20002-01
  AAAC-S 95 mm2 ;AL/ACSR;42-20013-01
  AAAC-S 150 mm2;AL/ACSR;42-20001-01
  AAAC-S 150 mm2 (19 wire);AL/ACSR;42-20018-01
  AAAC-S 240 mm2;AL/ACSR;42-20003-01
  THAL;AL/ACSR;     980
  ACCC/TW  COPENHAGEN 220 mm2 tw;AL/ACSR;42-00019-01
  ACCC/TW  LISBON 310 mm2 tw;AL/ACSR;42-00001-02
  ACCC/TW   AMSTERDAM 360 mm2 tw;AL/ACSR;42-00004-01
  ACCC/TW  BRUSSELS 420 mm2 tw ;AL/ACSR;42-00016-01
  GSW 35 mm2 rm;AL/ACSR;45-00005-01
  AS Wire 70 mm2 rm ;AL/ACSR;45-00013-01
  OPGW-24G652-2S-91;AL/ACSR;45-00014-01
  10/S1A-7 67.8 ;AL/ACSR;  10 - 150
  BCC Soft 6 mm2 re;AL/ACSR;41-00006-01
  BCC HD 10 mm2 re;AL/ACSR;41-00010-01
  BCC HD 70 mm2 re;AL/ACSR;41-00010-01
  BCC HD 240 mm2 re;AL/ACSR;41-00032-01
  BCC HD 300 mm2 re;AL/ACSR;41-00019-01
  ACSR/AS (A1/SA 1A) 250 mm2 rm;AL/ACSR;42-00002-01
  ACSR/AS (A1/SA 1A) 450 mm2 rm;AL/ACSR;42-00003-03
  T-EJ(Pem) E 1q x 0.9 mm;Telephone Cable;61-30002-01
  T-EJ(Pem) E 2q x 0.9 mm;Telephone Cable;61-30009-01
  T-EJ(Pem) E 2 x 2 x 0.9;Telephone Cable;61-30001-01
  T-EJ(Pem) E 2 x 2 x 0.9;Telephone Cable;61-30001-02
  T-EJ(Pem) E 2 x 2 x 1.5;Telephone Cable;61-30007-01
  T-EJ(Pem) E 10 x 2 x 0.9;Telephone Cable;61-30006-02
  U-E(Pe)ES;Telephone Cable; 60 x 2 x 0.6
  R-V(Pe)V ;Telephone Cable; 30 x 2 x 0.6
  R-V(Pe)V ;Telephone Cable; 50 x 2 x 0.6 
  R-V(Pe)V 6 x 2 x 0.6 ;Telephone Cable;61-10005-01
  R-VV 2 x 2 x 0.6 mm;Telephone Cable;61-10001-01
  R-VV 6 x 2 x 0.6 mm;Telephone Cable;61-10003-01
  CU/PE/PVC/SWA/PVC-DATA TWIST ARMOUR  AWG;Telephone Cable; 4 x 2 x 24
  FIBER OPTIC AERIAL SM DA-WG;Telephone Cable; 12/12 T
  FIBER OPTIC AERIAL SM DA-WG;Telephone Cable; 12/12 T
  FIBER OPTIC AERIAL SM DA-WG;Telephone Cable; 12/12 T
